Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ClockSpeed,DisplayType
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83kg,212200.0,2.8GHz,IPS Panel Retina Display
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,43300.0,2GHz,Full HD
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel Core M m3,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92kg,109800.0,1.2GHz,IPS Panel Retina Display
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,132100.0,2.3GHz,IPS Panel Retina Display
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,64800.0,2.7GHz,Full HD
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,16GB,512GB SSD,AMD Radeon Pro 560,macOS,1.83kg,248600.0,2.9GHz,IPS Panel Retina Display
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i3 7100U,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,43400.0,2.4GHz,Full HD
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg,85200.0,1.6GHz,IPS Panel Full HD / Touchscreen
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5 Z8350,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98kg,16600.0,1.44GHz,
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,86900.0,2.5GHz,IPS Panel Full HD
HP,255 G6,Notebook,15.6,1366x768,AMD E Series E2 9000e,4GB,500GB HDD,AMD Radeon R2,No OS,1.86kg,22400.0,1.5GHz,
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,71300.0,1.6GHz,Full HD / Touchscreen
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,57300.0,1.8GHz,Full HD
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg,36400.0,2GHz,
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,95600.0,1.6GHz,
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,69600.0,1.6GHz,Full HD
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7 8650U,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,112900.0,1.9GHz,Full HD
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,771000.0,1.6GHz,Full HD
Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,Intel Atom x5 Z8300,4GB,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89kg,21200.0,1.44GHz,Full HD
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E Series E2 6110,2GB,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65kg,17300.0,1.5GHz,
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,1920x1080,AMD A6 Series 9220,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71kg,38200.0,2.5GHz,Full HD
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 8550U,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,162600.0,1.8GHz,Touchscreen / Quad HD+
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,86800.0,1.6GHz,
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,21700.0,1.1GHz,
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U,4GB,1TB HDD,Intel HD Graphics 620,Linux,2.1kg,31900.0,2.7GHz,
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5 8250U,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,85200.0,1.6GHz,IPS Panel Full HD
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,42500.0,2.5GHz,
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1kg,76500.0,1.6GHz,Full HD
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,1TB HDD,Intel HD Graphics 620,Linux,2kg,33800.0,2GHz,Full HD
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,130400.0,2.8GHz,IPS Panel Full HD
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,2.3kg,45400.0,2.5GHz,
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i5 8250U,4GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2kg,59300.0,1.6GHz,IPS Panel Full HD
Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,Intel Core i5 8250U,12GB,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77kg,86900.0,1.6GHz,Full HD / Touchscreen
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8GB,256GB SSD,Intel Iris Graphics 540,macOS,1.37kg,123500.0,2.0GHz,IPS Panel Retina Display
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U,4GB,128GB SSD,Intel HD Graphics 520,No OS,2.2kg,32100.0,2GHz,
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1700,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,113000.0,3GHz,Full HD
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5 7200U,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3kg,55600.0,2.5GHz,Full HD
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,40500.0,1.1GHz,
Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5 Z8550,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,0.69kg,27800.0,1.44GHz,IPS Panel Touchscreen
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2kg,73200.0,1.8GHz,IPS Panel Full HD
HP,255 G6,Notebook,15.6,1920x1080,AMD A6 Series 9220,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,34600.0,2.5GHz,Full HD
HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg,951000.0,1.8GHz,Full HD
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.4kg,33400.0,2.4GHz,
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,AMD Radeon 520,Windows 10,2.13kg,66700.0,1.8GHz,Full HD
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.91kg,38200.0,2GHz,Full HD
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,501000.0,2.5GHz,
MSI,GS73VR 7RG,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43kg,213100.0,2.8GHz,Full HD
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,256GB SSD,Intel HD Graphics 520,Linux,2kg,36100.0,2GHz,Full HD
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg,113000.0,1.8GHz,Full HD
Dell,Vostro 5471,Ultrabook,14.0,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg,76500.0,1.6GHz,Full HD
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,1920x1080,Intel Core i3 7130U,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg,52100.0,2.7GHz,IPS Panel Full HD
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,81900.0,1.6GHz,Full HD
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.86kg,60000.0,2.5GHz,Full HD
Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,Intel Core i7 7700HQ,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8kg,172500.0,2.8GHz,Full HD
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U,4GB,500GB HDD,AMD Radeon 520,Windows 10,1.86kg,38100.0,2GHz,
HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060,4GB,32GB SSD,Intel HD Graphics 400,Windows 10,1.44kg,19900.0,1.6GHz,
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i5 7200U,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.9kg,47800.0,2.5GHz,Full HD
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3kg,82600.0,2.8GHz,Full HD
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.252kg,94700.0,2.5GHz,Touchscreen
Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,AMD Radeon 530,Windows 10,1.4kg,83100.0,1.8GHz,IPS Panel Full HD
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,75700.0,1.8GHz,Full HD
MSI,GL72M 7RDX,Gaming,17.3,1920x1080,Intel Core i5 7300HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7kg,95300.0,2.5GHz,Full HD
Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,33800.0,2GHz,
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,82600.0,2.8GHz,Full HD
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,2TB HDD,Intel HD Graphics 620,No OS,2.2kg,45200.0,2.5GHz,Full HD
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg,74400.0,1.8GHz,Full HD
Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,Intel Core i3 7130U,4GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,46100.0,2.7GHz,Full HD
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,841000.0,1.6GHz,Full HD
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,95400.0,1.6GHz,IPS Panel Full HD
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel Core i5,8GB,512GB SSD,Intel HD Graphics 615,macOS,0.92kg,131400.0,1.3GHz,IPS Panel Retina Display
HP,ProBook 440,Notebook,14.0,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.63kg,74800.0,1.6GHz,Full HD
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,AMD A6 Series 9220,4GB,128GB SSD,AMD R4 Graphics,Windows 10,2.2kg,34700.0,2.5GHz,Full HD
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9 Series 9420,4GB,1TB HDD,AMD Radeon R5,Windows 10,2.1kg,34400.0,3GHz,
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65kg,117400.0,2.8GHz,IPS Panel Full HD
HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83kg,60800.0,1.8GHz,IPS Panel Full HD
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.96kg,52000.0,2.5GHz,Full HD
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2kg,126100.0,2.8GHz,IPS Panel Full HD
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,143500.0,1.8GHz,IPS Panel Full HD
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,1920x1080,AMD FX 9830P,8GB,1TB HDD,AMD Radeon RX 560,Windows 10,2.45kg,60800.0,3GHz,Full HD
Acer,Aspire 5,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2kg,59900.0,1.8GHz,Full HD
HP,Probook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg,104100.0,1.8GHz,Full HD
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,1031000.0,2.5GHz,Full HD
Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.25kg,91300.0,2.7GHz,Full HD
Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5kg,73700.0,1.6GHz,IPS Panel Full HD / Touchscreen
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U,8GB,1TB HDD,AMD Radeon R5 M430,Linux,2.2kg,52100.0,2.7GHz,Full HD
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,256GB SSD,AMD Radeon R5 M430,Linux,2.2kg,42200.0,2GHz,Full HD
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,1920x1080,Intel Core i3 7100U,6GB,256GB SSD,Nvidia GeForce 920M,Windows 10,2kg,50200.0,2.4GHz,Full HD
HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,108700.0,2.8GHz,IPS Panel Full HD
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,AMD Radeon 530,Windows 10,1.91kg,62600.0,2.7GHz,Full HD
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1920x1080,AMD E Series E2 9000e,4GB,500GB HDD,AMD Radeon R2,Windows 10,2.1kg,30400.0,1.5GHz,Full HD
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5 8250U,8GB,1TB HDD,AMD Radeon 520,Linux,2.2kg,56300.0,1.6GHz,Full HD
HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,1.38kg,97400.0,2.7GHz,IPS Panel Full HD
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.252kg,116600.0,2.5GHz,Touchscreen
HP,Pavilion 14-BK001nv,Notebook,14.0,1920x1080,Intel Core i5 7200U,6GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.58kg,57300.0,2.5GHz,IPS Panel Full HD
Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.85kg,36000.0,2GHz,Full HD
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3kg,103800.0,2.7GHz,IPS Panel Full HD
MSI,GP62M 7REX,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2kg,113000.0,2.8GHz,Full HD
Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.58kg,128800.0,2.7GHz,IPS Panel Full HD
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7 8550U,16GB,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows 10,1.5kg,109800.0,1.8GHz,Full HD
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 7560U,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23kg,1191000.0,2.4GHz,Quad HD+ / Touchscreen
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.37kg,121700.0,2.5GHz,IPS Panel Full HD / Touchscreen
HP,Probook 440,Notebook,14.0,1366x768,Intel Core i5 8250U,4GB,500GB HDD,Intel UHD Graphics 620,Windows 10,1.63kg,62800.0,1.6GHz,IPS Panel
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,141700.0,1.6GHz,IPS Panel Full HD
HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.26kg,121600.0,1.6GHz,IPS Panel Full HD / Touchscreen
HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i7 8550U,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.63kg,94300.0,1.8GHz,Full HD
Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16kg,98300.0,1.8GHz,IPS Panel Full HD
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,1920x1080,Intel Core i3 6006U,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2kg,49100.0,2GHz,Full HD
Asus,VivoBook S15,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,97300.0,1.8GHz,Full HD
Acer,Spin 3,Notebook,15.6,1920x1080,Intel Core i3 7100U,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.1kg,41700.0,2.4GHz,IPS Panel Full HD / Touchscreen
MSI,GS63VR 7RG,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8kg,1941000.0,2.8GHz,Full HD
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Nvidia GeForce 940MX,No OS,2.2kg,54700.0,2.5GHz,Full HD
HP,Probook 470,Notebook,17.3,1920x1080,Intel Core i7 8550U,16GB,512GB SSD,Nvidia GeForce 930MX ,Windows 10,2.5kg,110600.0,1.8GHz,Full HD
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9 Series 9420,4GB,256GB SSD,AMD Radeon R5,Windows 10,2.1kg,39200.0,3GHz,
HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,4GB,500GB HDD,Intel HD Graphics 400,No OS,1.86kg,22500.0,1.6GHz,
HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i5 8250U,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.63kg,70600.0,1.6GHz,Full HD
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,AMD E Series 6110,4GB,64GB SSD,AMD Radeon R2,Windows 10,1.65kg,24100.0,1.5GHz,
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg,121500.0,1.8GHz,Full HD
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.5kg,80700.0,1.6GHz,Full HD
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5 7200U,8GB,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg,55500.0,2.5GHz,
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2kg,39100.0,2GHz,Full HD
Acer,Swift 3,Ultrabook,14.0,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,76900.0,1.8GHz,IPS Panel Full HD
Acer,Aspire A515-51G-37JS,Notebook,15.6,1920x1080,Intel Core i3 7130U,4GB,256GB SSD,Nvidia GeForce MX130,Windows 10,2.2kg,49800.0,2.7GHz,Full HD
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,Intel Core i7 7500U,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.05kg,52000.0,2.7GHz,
HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.63kg,851000.0,1.8GHz,Full HD
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,4GB,1TB HDD,Intel HD Graphics 500,No OS,1.9kg,21900.0,1.1GHz,
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,1920x1080,Intel Core i5 7300HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,81600.0,2.5GHz,Full HD
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U,4GB,1TB HDD,Nvidia GeForce 920MX,No OS,2.2kg,43400.0,2.5GHz,Full HD
HP,Envy 13-AD007nv,Notebook,13.3,1920x1080,Intel Core i5 7200U,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.32kg,60800.0,2.5GHz,IPS Panel Full HD
